Adaptacion; DIFICIL
Agudo; DIFICIL
Antibiotico; DIFICIL
Artritis; DIFICIL
Ataxia; DIFICIL
Atrofia; DIFICIL
Circulacion; DIFICIL
Cirugia; DIFICIL
Conducta; DIFICIL
Contractura; DIFICIL
Cronico; DIFICIL
Cuadriplejia; DIFICIL
Choquezuela; DIFICIL
Diagnostico; DIFICIL
Diplejia; DIFICIL
Distrofia; DIFICIL
Dosis; DIFICIL
Espasticidad; DIFICIL
Estimulacion; DIFICIL
Evaluacion; DIFICIL
Excremento; DIFICIL
Fisico; DIFICIL
Fisioterapeuta; DIFICIL
Funcional; DIFICIL
Gene; DIFICIL
Hemiplejia; DIFICIL
Herencia; DIFICIL
Higiene; DIFICIL
Infantil; DIFICIL
Infeccion; DIFICIL
Inflamacion; DIFICIL
Imitar; DIFICIL
Juvenil; DIFICIL
Ligamento; DIFICIL
Mental; DIFICIL
Miembro; DIFICIL
Musculos; DIFICIL
Nervio; DIFICIL
Ocupacional; DIFICIL
Orina; DIFICIL
Ortopedico; DIFICIL
Pantorrilla; DIFICIL
Paralisis; DIFICIL
Paraplejia; DIFICIL
Plaguicidas; DIFICIL
Postura; DIFICIL
Procedimiento; DIFICIL
Progresivo; DIFICIL
Protesis; DIFICIL
Retraso; DIFICIL
Rotula; DIFICIL
Social; DIFICIL
Tendon; DIFICIL
Terapia; DIFICIL
Toxico; DIFICIL
Trasladar; DIFICIL
Triplay; DIFICIL
Tronco; DIFICIL
Vacuna; DIFICIL
Vejiga; DIFICIL
Velcro; DIFICIL
Virus; DIFICIL
Angel; FACIL
Ojo; FACIL
Pizza; FACIL
Enojado; FACIL
Calabaza; FACIL
Bebe; FACIL
Flor; FACIL
Agua; FACIL
Aire; FACIL
Ramo; FACIL
Arbol; FACIL
Avion;  FACIL
Azul; FACIL
Balon; FACIL
Balsa; FACIL
Barco; FACIL
Barrio; FACIL
Bolsa; FACIL
Bote; FACIL
Boton; FACIL
Cafe; FACIL
Caja; FACIL
Calor; FACIL
Claro; FACIL
Casa; FACIL
Carro; FACIL
Cigarro; FACIL
Clavo; FACIL
Coche; FACIL
Comida; FACIL
Cuchara; FACIL
Dulce; FACIL
Ejercito; FACIL
Escuela; FACIL
Frio; FACIL
Forma; FACIL
Fuego; FACIL
Gato; FACIL
Goma; FACIL
Gorra; FACIL
Guante; FACIL
Jardin; FACIL
Joven; FACIL
Lapiz; FACIL
Libro; FACIL
Llave; FACIL
Luz; FACIL
Mano; FACIL
Manta; FACIL
Negro; FACIL
Niño; FACIL
Nube; FACIL
Pan; FACIL
Pez; FACIL
Pierna; FACIL
Ruta; FACIL
Ropa; FACIL
Sal; FACIL
Silla; FACIL
Sol; FACIL
Tela; FACIL
Verde; FACIL
